Fecha,Año,Mes,Poblacion 15 años y mas,Fuerza de trabajo,Ocupados,Desocupados total,Desocupados cesantes,Desocupados buscan primer trabajo
2010-01,2010,Enero,13181296,7703107,6998984,704123,594214,109909
2010-02,2010,Febrero,13198890,7613820,6925551,688270,595174,93095
2010-03,2010,Marzo,13216719,7625805,6967931,657874,576094,81780
2010-04,2010,Abril,13234538,7646678,6971791,674887,600024,74863
2010-05,2010,Mayo,13252260,7682790,7030691,652099,577823,74276
2010-06,2010,Junio,13269972,7733342,7090335,643007,576977,66030
2010-07,2010,Julio,13285351,7771867,7127458,644409,574100,70309
2010-08,2010,Agosto,13302221,7836324,7212257,624067,560142,63925
2010-09,2010,Septiembre,13319097,7838353,7240792,597561,527677,69885
2010-10,2010,Octubre,13335917,7865879,7311223,554656,485105,69551
2010-11,2010,Noviembre,13352761,7917594,7353834,563760,477994,85766
2010-12,2010,Diciembre,13369688,7988212,7401866,586345,485424,100921
2011-01,2011,Enero,13386492,7988489,7404073,584416,486215,98200
2011-02,2011,Febrero,13403325,7996061,7412478,583583,505561,78023
2011-03,2011,Marzo,13420227,8000650,7442403,558247,500804,57442
2011-04,2011,Abril,13437061,8018295,7444067,574228,514994,59234
2011-05,2011,Mayo,13453901,8059901,7482854,577047,515659,61388
2011-06,2011,Junio,13470733,8047646,7445467,602179,531523,70656
2011-07,2011,Julio,13487954,8066927,7470631,596296,530808,65488
2011-08,2011,Agosto,13505204,8089085,7488744,600342,534980,65362
2011-09,2011,Septiembre,13522426,8080005,7495775,584229,526133,58096
2011-10,2011,Octubre,13539596,8076002,7505337,570665,500670,69995
2011-11,2011,Noviembre,13556822,8098743,7564347,534395,444388,90007
2011-12,2011,Diciembre,13574106,8128355,7589408,538947,436181,102765
2012-01,2012,Enero,13591276,8155789,7637393,518396,418873,99522
2012-02,2012,Febrero,13608483,8150515,7612683,537831,459789,78042
2012-03,2012,Marzo,13625729,8153094,7621071,532023,466651,65372
2012-04,2012,Abril,13642939,8161249,7613710,547540,494471,53069
2012-05,2012,Mayo,13660152,8116685,7583238,533447,483035,50412
2012-06,2012,Junio,13677354,8078342,7551150,527192,482026,45166
2012-07,2012,Julio,13695075,8069085,7548872,520213,476157,44057
2012-08,2012,Agosto,13712797,8136999,7607767,529232,482365,46867
2012-09,2012,Septiembre,13730509,8169877,7633010,536867,487629,49238
2012-10,2012,Octubre,13748176,8181812,7674996,506815,453338,53477
2012-11,2012,Noviembre,13765880,8195632,7699431,496201,431170,65032
2012-12,2012,Diciembre,13783670,8233510,7742419,491091,408433,82659
2013-01,2013,Enero,13801291,8242599,7734484,508116,428858,79258
2013-02,2013,Febrero,13819005,8240711,7729502,511208,441083,70126
2013-03,2013,Marzo,13836707,8279916,7753331,526585,476031,50555
2013-04,2013,Abril,13854421,8293578,7762816,530763,474115,56647
2013-05,2013,Mayo,13872110,8262539,7752828,509710,457185,52526
2013-06,2013,Junio,13889795,8210486,7738561,471925,426983,44941
2013-07,2013,Julio,13908047,8221487,7751390,470097,431197,38900
2013-08,2013,Agosto,13926305,8227048,7758907,468141,432273,35868
2013-09,2013,Septiembre,13944531,8271383,7789695,481688,438315,43373
2013-10,2013,Octubre,13962734,8304599,7830930,473668,428394,45274
2013-11,2013,Noviembre,13980982,8378867,7904048,474819,412462,62357
2013-12,2013,Diciembre,13999268,8431019,7915405,515614,429324,86290
2014-01,2014,Enero,14017453,8462360,7943257,519103,432895,86209
2014-02,2014,Febrero,14035666,8439151,7894769,544382,466191,78191
2014-03,2014,Marzo,14053951,8437206,7921869,515337,463357,51980
2014-04,2014,Abril,14072141,8412383,7883895,528488,477874,50614
2014-05,2014,Mayo,14090372,8395166,7853599,541567,496816,44751
2014-06,2014,Junio,14108616,8360900,7819681,541219,499293,41926
2014-07,2014,Julio,14127401,8362685,7802505,560181,516333,43848
2014-08,2014,Agosto,14146220,8408743,7850797,557946,515547,42400
2014-09,2014,Septiembre,14165015,8435569,7894843,540726,493617,47109
2014-10,2014,Octubre,14183776,8482350,7968981,513369,469443,43926
2014-11,2014,Noviembre,14202596,8527834,8013717,514117,454890,59227
2014-12,2014,Diciembre,14221445,8527490,8003048,524442,460070,64372
2015-01,2015,Enero,14240171,8510445,7990849,519596,454590,65007
2015-02,2015,Febrero,14258981,8494770,7973956,520815,464929,55886
2015-03,2015,Marzo,14277806,8511595,7988265,523331,469122,54209
2015-04,2015,Abril,14296573,8536672,7976148,560524,503293,57231
2015-05,2015,Mayo,14315376,8528369,7972631,555739,500584,55155
2015-06,2015,Junio,14334161,8523187,7962940,560247,510240,50007
2015-07,2015,Julio,14354379,8532477,7980911,551566,507468,44098
2015-08,2015,Agosto,14374720,8579271,8028202,551068,507658,43411
2015-09,2015,Septiembre,14395145,8564167,8023378,540789,498607,42181
2015-10,2015,Octubre,14415626,8595860,8074685,521175,476204,44971
2015-11,2015,Noviembre,14436220,8635878,8136356,499522,445769,53753
2015-12,2015,Diciembre,14456915,8671172,8165195,505977,440397,65580
2016-01,2016,Enero,14477700,8645380,8134368,511012,443924,67088
2016-02,2016,Febrero,14498560,8617726,8077982,539744,483140,56605
2016-03,2016,Marzo,14519532,8647708,8098424,549284,498496,50788
2016-04,2016,Abril,14540598,8665733,8077814,587920,538546,49374
2016-05,2016,Mayo,14561779,8654908,8059702,595206,543135,52071
2016-06,2016,Junio,14583016,8676333,8056676,619657,569320,50338
2016-07,2016,Julio,14604372,8667199,8070852,596347,550167,46180
2016-08,2016,Agosto,14625824,8691644,8104866,586778,543390,43388
2016-09,2016,Septiembre,14647386,8699412,8141241,558171,519893,38278
2016-10,2016,Octubre,14669017,8745172,8200015,545157,499348,45809
2016-11,2016,Noviembre,14690764,8747741,8216866,530875,476155,54720
2016-12,2016,Diciembre,14712613,8776201,8230371,545830,475061,70769
2017-01,2017,Enero,14734575,8749868,8191916,557952,486330,71622
2017-02,2017,Febrero,14756591,8775101,8195017,580083,513160,66923
2017-03,2017,Marzo,14778762,8793348,8207858,585489,529188,56301
2017-04,2017,Abril,14801028,8838647,8218143,620505,560760,59745